system.cpu|system_lag0,system.cpu|system_lag1,system.cpu|system_lag2,system.cpu|system_lag3
0.25083436666666664,0.08354220000000001,0.08502106666666669,0.25125626666666667
0.2502067333333333,0.25083436666666664,0.08354220000000001,0.08502106666666669
0.1666645666666667,0.2502067333333333,0.25083436666666664,0.08354220000000001
0.16708226666666662,0.1666645666666667,0.2502067333333333,0.25083436666666664
0.2502067333333333,0.16708226666666662,0.1666645666666667,0.2502067333333333
0.0008459666666666606,0.2502067333333333,0.16708226666666662,0.1666645666666667
0.0016750333333332978,0.0008459666666666606,0.2502067333333333,0.16708226666666662
0.1691961333333333,0.0016750333333332978,0.0008459666666666606,0.2502067333333333
0.08164983333333335,0.1691961333333333,0.0016750333333332978,0.0008459666666666606
0.0008354333333333575,0.08164983333333335,0.1691961333333333,0.0016750333333332978
0.003366999999999972,0.0008354333333333575,0.08164983333333335,0.1691961333333333
0.08207389999999999,0.003366999999999972,0.0008354333333333575,0.08164983333333335
0.08291250000000001,0.08207389999999999,0.003366999999999972,0.0008354333333333575
0.08542713333333334,0.08291250000000001,0.08207389999999999,0.003366999999999972
0.16792613333333337,0.08542713333333334,0.08291250000000001,0.08207389999999999
0.08291250000000001,0.16792613333333337,0.08542713333333334,0.08291250000000001
0.24998410000000001,0.08291250000000001,0.16792613333333337,0.08542713333333334
0.0008438666666667297,0.24998410000000001,0.08291250000000001,0.16792613333333337
0.16581860000000004,0.0008438666666667297,0.24998410000000001,0.08291250000000001
0.0012721666666666669,0.16581860000000004,0.0008438666666667297,0.24998410000000001
0.16623199999999996,0.0012721666666666669,0.16581860000000004,0.0008438666666667297
0.2431724666666667,0.16623199999999996,0.0012721666666666669,0.16581860000000004
0.3337489333333334,0.2431724666666667,0.16623199999999996,0.0012721666666666669
0.0,0.3337489333333334,0.2431724666666667,0.16623199999999996
0.24359653333333334,0.0,0.3337489333333334,0.2431724666666667
0.2531141666666667,0.24359653333333334,0.0,0.3337489333333334
0.16877636666666665,0.2531141666666667,0.24359653333333334,0.0
0.16624266666666668,0.16877636666666665,0.2531141666666667,0.24359653333333334
0.08063476666666669,0.16624266666666668,0.16877636666666665,0.2531141666666667
0.3333333333333333,0.08063476666666669,0.16624266666666668,0.16877636666666665
0.1666645666666667,0.3333333333333333,0.08063476666666669,0.16624266666666668
0.16834803333333337,0.1666645666666667,0.3333333333333333,0.08063476666666669
0.08270676666666665,0.16834803333333337,0.1666645666666667,0.3333333333333333
0.16834803333333337,0.08270676666666665,0.16834803333333337,0.1666645666666667
0.16414776666666664,0.16834803333333337,0.08270676666666665,0.16834803333333337
0.08607376666666662,0.16414776666666664,0.16834803333333337,0.08270676666666665
0.0008438666666667297,0.08607376666666662,0.16414776666666664,0.16834803333333337
0.16749793333333332,0.0008438666666667297,0.08607376666666662,0.16414776666666664
0.08607376666666662,0.16749793333333332,0.0008438666666667297,0.08607376666666662
0.0008438666666667297,0.08607376666666662,0.16749793333333332,0.0008438666666667297
0.08187549999999999,0.0008438666666667297,0.08607376666666662,0.16749793333333332
0.1664514666666667,0.08187549999999999,0.0008438666666667297,0.08607376666666662
0.08522566666666666,0.1664514666666667,0.08187549999999999,0.0008438666666667297
0.08354220000000001,0.08522566666666666,0.1664514666666667,0.08187549999999999
0.16708116666666664,0.08354220000000001,0.08522566666666666,0.1664514666666667
0.17131436666666666,0.16708116666666664,0.08354220000000001,0.08522566666666666
0.08354216666666663,0.17131436666666666,0.16708116666666664,0.08354220000000001
0.16541039999999999,0.08354216666666663,0.17131436666666666,0.16708116666666664
0.08777216666666665,0.16541039999999999,0.08354216666666663,0.17131436666666666
0.16708436666666662,0.08777216666666665,0.16541039999999999,0.08354216666666663
